customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,balance_salary_ratio,credit_age_ratio
15634602,0.5379999999999999,0,0,0.3243243243243243,0.2,0.0,1,1,1,0.5067348931822989,1,0.0,0.4062448979591836
15647311,0.5159999999999999,2,0,0.3108108108108108,0.1,0.334031478677259,1,0,1,0.5627087386845444,0,0.21375159068889557,0.3936494845360824
15619304,0.3039999999999999,0,0,0.3243243243243243,0.8,0.6363571759354565,3,1,0,0.5696543519906151,1,0.4054122967444626,0.22955102040816316
15701354,0.6980000000000001,0,0,0.2837837837837838,0.1,0.0,2,0,0,0.4691200509648671,0,0.0,0.5437052631578948
15737888,1.0,2,0,0.3378378378378379,0.2,0.5002462155052676,1,1,1,0.3954003607344502,0,0.3584965502244601,0.7474747474747474
15574012,0.59,2,1,0.3513513513513513,0.8,0.4533943642217444,2,1,0,0.7487971601287922,1,0.25926069332612234,0.4366
15592531,0.944,0,1,0.4324324324324324,0.7000000000000001,0.0,2,1,1,0.0502608999159419,0,0.0,0.6590188679245282
15656148,0.0519999999999999,1,0,0.1486486486486486,0.4,0.4585397202505608,4,1,0,0.5967334880481086,1,0.28717361017529136,0.04527058823529403
15792365,0.3019999999999999,0,1,0.3513513513513513,0.4,0.5661703921301275,2,0,1,0.3746803819764787,0,0.4118560209000022,0.22347999999999993
15592389,0.668,0,1,0.1216216216216216,0.2,0.5364882610306042,1,1,1,0.3586049967771922,0,0.39488170756270735,0.595566265060241
15767821,0.356,0,1,0.1756756756756757,0.6000000000000001,0.4066062041365082,2,0,0,0.4008859846115303,0,0.2902493197897624,0.3028045977011494
15737173,0.2939999999999999,2,1,0.081081081081081,0.3,0.0,2,1,0,0.3819286241836095,0,0.0,0.2719499999999999
15632264,0.252,0,0,0.2162162162162162,1.0,0.0,2,1,0,0.1312595352856197,0,0.0,0.2072
15691483,0.398,0,0,0.0945945945945945,0.5,0.0,2,0,0,0.954322187768932,0,0.0,0.363604938271605
15600882,0.57,2,0,0.2297297297297297,0.7000000000000001,0.0,2,1,1,0.3297318393906617,0,0.0,0.4635164835164835
15643966,0.5319999999999999,1,1,0.3648648648648648,0.3,0.5704683124530762,2,0,1,0.3216091136703555,0,0.4316467755498289,0.3897821782178217
15737452,0.606,1,1,0.5405405405405406,0.1,0.5285129113577549,1,1,0,0.0254328788399292,1,0.5154046864146397,0.39336842105263153
15788218,0.398,2,0,0.081081081081081,0.9,0.0,2,1,1,0.0719810241878099,0,0.0,0.3681500000000001
15661507,0.4739999999999998,2,1,0.3648648648648648,0.6000000000000001,0.0,1,0,0,0.7934419237037137,0,0.0,0.34728712871287115
15568982,0.7519999999999999,0,0,0.081081081081081,0.6000000000000001,0.0,2,1,1,0.2735883776900694,0,0.0,0.6956
15577657,0.7639999999999999,0,1,0.3108108108108108,0.8,0.0,2,1,1,0.8544545504095641,0,0.0,0.5828453608247423
15597945,0.572,2,0,0.1891891891891892,0.8,0.0,2,1,0,0.6927855610210775,0,0.0,0.4809999999999999
