customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,0.5379999999999999,0,0,0.3243243243243243,0.2,0.0,1,1,1,0.5067348931822989,1
15647311,0.5159999999999999,2,0,0.3108108108108108,0.1,0.334031478677259,1,0,1,0.5627087386845444,0
15619304,0.30399999999999994,0,0,0.3243243243243243,0.8,0.6363571759354565,3,1,0,0.5696543519906151,1
15701354,0.6980000000000001,0,0,0.2837837837837838,0.1,0.0,2,0,0,0.46912005096486714,0
15737888,0.9999999999999999,2,0,0.3378378378378379,0.2,0.5002462155052676,1,1,1,0.3954003607344502,0
15574012,0.59,2,1,0.35135135135135137,0.8,0.45339436422174445,2,1,0,0.7487971601287922,1
15592531,0.9440000000000001,0,1,0.4324324324324324,0.7000000000000001,0.0,2,1,1,0.050260899915941966,0
15656148,0.051999999999999935,1,0,0.14864864864864863,0.4,0.4585397202505608,4,1,0,0.5967334880481086,1
15792365,0.30199999999999994,0,1,0.35135135135135137,0.4,0.5661703921301275,2,0,1,0.37468038197647874,0
15592389,0.668,0,1,0.12162162162162166,0.2,0.5364882610306042,1,1,1,0.3586049967771922,0
15767821,0.356,0,1,0.1756756756756757,0.6000000000000001,0.4066062041365082,2,0,0,0.40088598461153035,0
15737173,0.29399999999999993,2,1,0.08108108108108109,0.30000000000000004,0.0,2,1,0,0.3819286241836095,0
15632264,0.252,0,0,0.21621621621621623,1.0,0.0,2,1,0,0.13125953528561976,0
15691483,0.398,0,0,0.09459459459459457,0.5,0.0,2,0,0,0.9543221877689319,0
15600882,0.57,2,0,0.22972972972972977,0.7000000000000001,0.0,2,1,1,0.32973183939066175,0
15643966,0.5319999999999999,1,1,0.36486486486486486,0.30000000000000004,0.5704683124530762,2,0,1,0.32160911367035555,0
15737452,0.606,1,1,0.5405405405405406,0.1,0.5285129113577549,1,1,0,0.02543287883992921,1
15788218,0.398,2,0,0.08108108108108109,0.9,0.0,2,1,1,0.07198102418780992,0
15661507,0.47399999999999987,2,1,0.36486486486486486,0.6000000000000001,0.0,1,0,0,0.7934419237037137,0
15568982,0.7519999999999999,0,0,0.08108108108108109,0.6000000000000001,0.0,2,1,1,0.2735883776900694,0
15577657,0.7639999999999999,0,1,0.3108108108108108,0.8,0.0,2,1,1,0.8544545504095641,0
15597945,0.572,2,0,0.1891891891891892,0.8,0.0,2,1,0,0.6927855610210775,0
15699309,0.31999999999999995,2,0,0.27027027027027034,0.4,0.0,1,1,0,0.5945665311037204,1
15725737,0.638,0,1,0.37837837837837845,0.30000000000000004,0.0,2,0,1,0.04238489775773586,0
15625047,0.9919999999999999,0,0,0.27027027027027034,0.5,0.0,1,1,1,0.9381124897427704,0
15738191,0.45399999999999985,0,1,0.09459459459459457,0.30000000000000004,0.0,2,0,1,0.6225430028567728,0
